index,Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services,Male to female births,Gender enrolment ratio pre-primary,Gender enrolment ratio primary,Gender enrolment ratio secondary,Youth unemployment rate gender ratio,At least some secondary education gender ratio,Total unemployment rate gender ratio,Share of female employment in nonagriculture,Share of seats held by women in parliament,Share of seats held by women in local government,Share of hour women spent on unpaid domestic chores and care work,Time spent on unpaid domestic chores and care work gender ratio,Old-age pension recipients gender ratio,Share of women married by age 18,Share of female in STEM tertiary education programs,Share of female STEM tertiary education graduates,Female share of employment in senior and middle management,Women with account at financial institution or with mobile money-service provider,Days of mandatory paid maternity leave,Share of violence against women ever experienced by intimate partner,Share of violence against women ever experienced by nonintimate partner,Share of skilled labour force,Ratio of education and health expenditure to military expenditure,Gender Inequality Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male
9680920,Ecuador,0.759,77.01,14.6008,8.907169486,11043.98255,84,0.967367575789958,2,0.7429286659734187,0.7679900428404774,79.838,74.282,14.89502544,14.30661012,8.731764724,8.854201765,7874.348971924653,14210.94743886486,99.40242,99.10982,53.00729762,66.13675,103.26795,101.43565,44.89223,1.35746,93.40977,4.9987,46.73991,2.195892841,-1.80824,2535,57.2722,53.5403,12.621194048110596,20.368,13.9,24.26216,39.3,71,..,..,..,46.728,100.0,75,42,1.05,1.0542623338090111,1.0164223665684546,1.0275889177516169,1.559054054054054,0.9853090726684172,1.5102040816326532,42.09391,37.95620438,27.17,19.74505,4.181572326511249,..,20.4,8.02651,29.22662,37.1,42.6063385,84,40.4,..,46.9531,5.19372,0.384,86,59,79.261,37.95620438,52.48502,53.26757,55.212,81.066
9680921,Saint Lucia,0.759,76.2,13.99927,8.508470732,14615.56978,86,0.9854529148532554,1,0.7521085854773343,0.7632110820731921,77.58,74.851,14.69305,13.30756,8.779392625,8.210941795,11475.907006458692,17851.24894544497,..,..,45.9543112,73.91699,102.59824,89.36041,14.06653,8.0177,98.46262,3.67959,..,4.586137097,-16.6205,395,50.8152,..,13.29924796068589,6.409,13,14.73909,100,100,..,..,..,29.597,99.99856,..,..,1.03,1.0999139024478537,1.0107997345728297,1.0017553275849864,1.2473681657206617,1.1701174300609427,1.2506587792417316,46.95183,20.68965517,..,..,..,..,24,..,..,..,..,91,..,..,16.7947,..,0.401,90,117,40.536,20.68965517,49.22039668,42.0644932,59.537,74.999
9680922,Azerbaijan,0.756,73.01,12.89364,10.57543,13783.67995,88,0.9427321413710316,3,0.7296549712857238,0.7739790967820127,75.455,70.511,13.00958606,12.79102352,10.24592,10.93251,8919.23823824371,18663.688196437346,99.91311,99.96065,95.64132,39.71233,99.7221,94.48008,27.7085,5.58613,96.41643,2.47382,86.04388,2.526812556,-18.6701,2633,79.8,75.9826,11.25011936885356,34.46,48.2,15.42982,53.6,61.7,389.3883339,419.6431128,397.6495811,55.231,100.0,74,..,1.13,0.9896753805729552,1.0054638974608912,1.0011795222733582,1.236609186632077,0.9630889031018834,1.3410245554614733,44.14604,16.80672269,35,25.41667,2.859375017578123,1.5103011093502376,11,14.57239,35.09903,..,27.71962547,126,13.5,..,93.3,2.371953,0.323,73,26,55.838,16.80672269,93.9019,97.50076,63.411,69.737
9680923,Dominican Republic,0.756,74.08,14.22252,8.123720269,17591.06522,89,0.9987924735511202,1,0.7591699385738584,0.760087764653147,77.381,70.991,14.98607,13.45607,8.845290486,8.315284627,12448.859606737169,22739.557968219207,98.86737,98.81259,56.87582442,51.43738,105.69865,79.93869,59.91559,20.71331,90.55227,..,52.9604,5.285875967,0.9209,6569,74.8243,75.0412,12.256139622706886,15.6,15.6,18.92322,23.2,..,341.6256207,325.1005466,335.6299466,40.4,100.0,..,..,1.05,1.0203771465711315,0.9417562261197513,1.0782124044612842,2.080496637351268,1.0625769419540927,1.9707212568436088,42.62137,24.32432432,28.34,16.70887,4.413785360879753,..,35.9,7.02032,39.98837,50.19,54.14283752,98,28.5,..,47.9734,9.964818,0.455,112,95,94.26,24.32432432,59.65802317,56.14466192,51.43,77.435
9680924,Moldova (Republic of),0.75,71.9,11.53408,11.70817,13663.60669,91,1.013708538762285,1,0.7544443897258262,0.7442419205099974,76.157,67.624,11.77517,11.30316,11.76912,11.63766,11994.41735934833,15477.12762076822,99.81553,99.8067,97.28972,86.70315,90.61876,86.90614,39.82124,5.65999,93.25117,5.51108,85.76873,2.589814217,-14.80301,160,76.1245,66.8995,12.348438977724797,32.066,56.6,17.92314,90.6,94.2,423.9929657,420.6039989,428.4852667,37.347,100.0,73,..,1.06,0.9966750472747825,1.0005924309250047,0.9899220814553314,0.8469486359919721,0.9844956467841082,0.6139184397163121,52.80161,25.74257426,35.6,19.45875,1.7755014334490917,..,12.2,12.29242,30.5224,..,44.55144882,126,34,4,65.2196,33.67769,0.204,46,19,22.415,25.74257426,96.58683,98.10793,40.49,45.983
9680925,Algeria,0.748,76.88,14.60430179,7.986547848,11173.95681,91,0.8583254728464075,5,0.6711642685049611,0.7819461145423354,78.133,75.676,14.8472673,14.36133628,7.699,8.274,3295.5479501103446,18890.709828867828,97.25216,97.59406,38.92,..,109.88282,..,51.36567,3.73499,77.3002,..,52.04477,0.578530387,-1.11179,2657,59.5797,50.314,12.988053595559723,17.193,19,24.32018,..,..,..,..,..,26.993,100.0,..,18,1.05,..,0.954990385774952,..,1.763475677117062,1.0046272493573265,2.1736440503196532,16.85994,21.54882155,17.59,21.66667,5.777778666666666,..,2.5,30.89274,58.1698,..,29.26873016,98,..,..,40.34,2.823014,0.429,103,112,10.071,21.54882155,39.08,38.9,14.591,67.404
9680926,Lebanon,0.744,78.93,11.28587,8.718636,14654.53395,90,0.8921468975490517,5,0.6907951375619129,0.774306495331316,80.869,77.14,11.11914,11.4526,8.4842,8.9158,6078.497812541329,23124.196533914244,99.83898,99.66274,54.884196,..,..,..,..,14.51591,83.47173,2.43467,63.61167,27.18715034,1.23938,1964,78.1808,..,13.835244609550534,21.038,27.3,12.48274,89.9,94,353.3553166,393.4500545,383.7169937,26.882,100.0,48,22,1.05,..,..,..,1.3203382453522354,0.9775371030234111,1.9575985734099468,23.31316,4.6875,3.97,..,..,..,6.1,18.02627,43.25716,..,32.90546417,70,..,..,..,2.380549,0.411,96,29,14.5,4.6875,54.31374759,55.56182719,22.874,71.41
9680927,Fiji,0.743,67.44,14.42733,10.90163,13009.07311,93,..,..,..,..,69.331,65.698,..,..,10.99611,10.80757,8316.974848913595,17576.69980826722,99.81083,99.67991,78.683,..,106.43889,..,..,8.78281,86.21768,3.88289,..,1.577386671,..,870,49.9664,..,12.75552775734915,8.6,20,27.99728,..,..,..,..,..,43.141,99.25741,..,..,1.06,..,0.977846918384489,..,1.9381770145310435,1.0152346804048753,1.5204344098313805,33.51735,19.60784314,..,15.15812,2.9179634862823307,..,..,..,..,38.58,..,98,64.1,8.5,62.4897,5.299757,0.37,84,34,49.353,19.60784314,79.38022,78.18903504,38.475,76.471
9680928,Dominica,0.742,78.21,12.966179,8.142186,11883.95528,94,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.69707,114.72662,94.25424,..,20.49678,95.86574,3.38688,139.7866,11.50846702,..,63,69.6197,..,12.722399092396753,11.189,..,13.07679,100,93.3,..,..,..,..,100.0,..,..,..,1.0313627030491876,0.9733684943544367,0.9903266785186756,..,..,..,..,25,..,..,..,..,..,..,..,..,..,84,..,..,..,..,..,..,..,..,25,..,..,..,..
9680929,Maldives,0.74,78.92,12.2,7.020278,17416.77777,98,0.9231997515773089,4,0.6982371757586027,0.7563229675545814,80.779,77.523,12.2759011,12.12408078,7.023352,7.016279,7907.654480540093,22931.118563623273,99.08863,98.39115,47.60618681,91.54715,97.1098,..,31.22359,6.67083,95.5554,4.06728,135.7374,13.04239735,..,1484,63.1857,..,12.593620704746055,45.627,43,10.16278,100,100,..,..,..,19.467,100.0,..,..,1.07,1.0291569595112922,1.0194925265620316,..,0.7062027567807914,0.9161177666952238,0.9450620267439986,21.72522,4.597701149,6.13,..,..,..,2.2,0.78411,10.56338,19.52,..,60,16.3,..,32.6717,..,0.369,82,53,7.81,4.597701149,45.41076032,49.56869299,41.634,84.227
9680930,Tunisia,0.74,76.7,15.12561,7.22022,10414.06361,94,0.9001292969125834,4,0.6893713442641072,0.7658581346353578,78.721,74.688,15.8231,14.28112,6.47663,7.99608,4586.806228989247,16340.580692873471,95.80119,96.61184,44.86100117,44.61507,115.44597,92.8658,31.74652,5.82912,78.81827,6.59921,110.5352,0.491290128,-5.66328,8299,64.1908,..,13.225535641799546,13.025,21.8,16.87168,48.7,97.4,..,..,..,19.964,99.57799,93,78,1.06,1.017866270643209,0.991370293947233,1.1428894782653123,1.1223064816139647,0.7777654383842827,1.7492341029664502,24.97456,22.58064516,48.49,..,..,..,1.5,36.46269,55.4091,19.26,28.36343575,30,..,..,55.7924,5.995029,0.296,65,43,7.841,22.58064516,42.43799338,54.564,23.777,69.433
9680931,Saint Vincent and the Grenadines,0.738,72.53,14.09404,8.784648,12377.65413,96,0.9654676872410736,2,0.7236320707548527,0.7495145413128307,75.131,70.289,14.230593,13.957487,8.857663479,8.713512817,8879.661079458721,15775.814981423386,..,..,..,76.08959,113.40437,107.22641,23.66992,5.36556,84.76092,5.68122,85.203,4.2427366189999995,..,80,22.3943,..,12.763680069635285,6.648,43.2,14.39258,100,96.3,..,..,..,19.865,100.0,..,..,1.03,1.024084342483923,0.9884371276873035,1.0264470640772332,1.0888691182285488,..,0.8181996566102525,44.51591,13.04347826,..,..,..,..,..,..,..,..,..,91,..,..,..,..,..,..,68,49.02,13.04347826,..,..,54.361,77.01
9680932,Suriname,0.738,71.68,13.188028,9.261387,14324.37746,98,0.9852291416227549,1,0.7288378487734576,0.7397648100146537,75.063,68.468,13.79321,12.48327536,9.383710761,9.121048275,9503.860220435196,19092.98740027853,98.39996,98.87544,60.532227,86.15779,108.84212,82.26363,..,14.99313,72.42679,..,90.9614,7.939322842999999,..,278,48.9452,..,13.451520087655078,12.101,30,13.39335,..,..,..,..,..,12.194,94.28579,..,..,1.08,1.004794488356791,0.9976160742505183,1.321748024185894,2.4189306777530697,1.0239988610878972,2.645440426003994,37.58935,31.37254902,35.59,..,..,..,36,..,..,..,..,..,..,..,45.04,..,0.436,105,120,61.655,31.37254902,61.52695926,60.08498798,38.753,63.668
9680933,Mongolia,0.737,69.87,14.20655,10.2512725,10838.6743,97,1.0230891704780272,1,0.7438566387771857,0.727069213751551,74.142,65.799,14.7541,13.659,10.71041403,9.728477282,8755.744651329342,12980.952951611716,99.08,98.19,89.01067752,86.66912,104.04036,..,65.59544,2.22776,97.48883,4.08578,125.7589,0.65509786,-5.77709,529,23.7143,51.1065,11.228808695362103,28.592,80,30.38318,70.7,82.8,..,..,..,48.486,94.62949,24,..,1.03,0.9980478998237751,0.9765020198438027,..,1.4976415094339623,1.0622045521751418,0.8889941575872414,47.74999,17.33333333,26.69,17.63889,2.7608692589792594,..,12,14.40833,34.07768,43,94.95379639,120,31.2,14,80.5507,10.85842,0.322,71,45,30.993,17.33333333,91.49138376,86.13348867,53.304,66.384
9680934,Botswana,0.735,69.59,12.8495,9.56,16437.14142,102,0.9977298932351841,1,0.7335801908968022,0.7352492852731267,72.386,66.485,12.99222625,12.70677375,9.486903274,9.652469624,15276.173529082012,17676.754090900926,99.13954,95.75475,90.45964308,21.44787,103.23839,..,24.85997,5.98795,99.40158,..,74.11064,4.8008049669999995,-2.91036,1623,47,33.7539,13.148033962306648,5.269,18,23.71279,..,86.3,..,..,..,25.912,27.882609999999996,..,..,1.03,1.0348891256114763,0.9777644511141629,..,1.4252361889511609,0.9862704223390457,1.3854289071680377,49.55352,10.76923077,12.67,..,..,..,..,..,..,29.55,46.788517,84,..,..,33.95,5.024871,0.465,116,144,46.061,10.76923077,89.64,90.88785182,65.375,76.898
9680935,Jamaica,0.734,74.48,13.1407323,9.73305,9319.131127,98,0.9943386569289407,1,0.7304844615216809,0.7346435305832468,76.118,72.868,13.9024646,12.379,10.15051042,9.289158696,7500.82097490657,11163.326099031103,98.8,93.86,66.18737738,73.3331,90.99539,82.28867,27.13061,3.25066,96.61764,5.40731,89.02638,0.795989796,..,2473,55.0721,58.8841,12.766623053202775,13.061,17.2,24.79434,84.3,72.8,..,..,..,35.773,97.59347,..,..,1.05,1.0405007818458236,0.9552622958290092,1.0319204909113058,1.5846879618051608,1.12311038605782,1.924323361823362,48.45839,19.04761905,18.42,..,..,..,7.9,..,..,..,77.7620163,56,27.8,23,..,11.51699,0.396,88,80,52.757,19.04761905,70.04393986,62.36603341,59.782,72.468
9680936,Jordan,0.729,74.53,11.3787006,10.518,9858.487276,103,0.8748292952354352,5,0.6635184666549147,0.7584547868579866,76.306,72.839,11.63216428,11.12515586,10.31,10.726,3323.6458286672537,16233.916224885066,99.49391,99.19612,84.15676617,27.13668,81.4589,63.11653,34.41532,4.10297,86.4684,3.58851,87.61716,33.13011659,5.19964,4150,66.7903,..,13.115081705224007,23.237,14.7,18.53699,12.7,73.6,419.0636608,399.7619093,429.2520738,9.202,98.89148,94,81,1.05,0.992076409460149,0.9819269178172191,1.0331469042738044,1.8531840401638262,0.9545683463914844,1.823115970324092,16.64676,15.38461538,31.85,..,..,0.2007434944237918,9.7,..,..,..,26.61338997,70,19,..,..,2.408983,0.45,109,46,25.877,15.38461538,82.15009517,86.05994058,14.386,63.742
9680937,Paraguay,0.728,74.25,12.71,8.53508,12223.94045,104,0.9662831980940481,2,0.7136635747196335,0.7385656463108373,76.396,72.263,13.048451,12.37,8.543956838,8.525926993,8855.067287314187,15482.611982347882,98.86784,97.73242,50.08863,43.78909,..,..,..,15.85323,84.08086,3.43834,69.1576,2.278598923,..,1181,64.9935,65.6624,13.26332244049424,13.544,8.3,24.15974,5.4,21.6,..,..,..,37.484,100.0,64,58,1.05,1.0115071978835226,..,..,1.3986862051541182,0.9626425100664259,1.395079594790159,42.87464,16.8,20.82,14.52502,3.4013174379040887,0.8032128514056225,21.6,..,..,..,46.04944992,126,20.4,..,43.6684,10.67742,0.446,107,84,70.504,16.8,49.2486,51.15980178,59.22,84.606
9680938,Tonga,0.725,70.91,14.40649703,11.24,6364.577962,105,0.9497805673044346,3,0.701607207960369,0.7387045304070554,72.887,68.967,14.6231,13.97933935,11.324,11.16,4310.573897898187,8415.635724896758,99.53978,99.34871,93.78358608,45.81301,116.33897,100.86179,..,..,..,..,98.22011,3.5906367830000003,..,54,41.2487,..,12.42817741268134,5.403,..,21.63312,..,..,..,..,..,52.24,98.89909,..,..,1.05,1.0657919138631065,0.9942896099961787,1.0298183627708046,3.576244813278008,1.006423982869379,3.795880149812734,49.81408,7.407407407,..,..,..,..,5.6,..,..,40.34,..,..,39.6,6.3,72.3015,..,0.354,79,52,14.662,7.407407407,94,93.4,45.737,74.337
9680939,Libya,0.724,72.91,12.85428,7.599985,15687.71357,106,0.9761731259582465,1,0.7132516613763122,0.730661029698148,75.951,70.097,13.06487113,12.64368887,8.47,7.214,9249.284149447896,21998.629838117628,..,..,57.5011966,..,..,..,..,..,..,..,118.3218,12.07261962,..,..,21.7589,..,13.9785361163837,20.905,32,..,..,..,..,..,..,5.723,6.593833999999999,..,26,1.06,..,..,..,1.6502400151339593,1.5646183346645868,1.5889542779538253,30.3472,15.95744681,..,..,..,..,..,..,..,..,59.62096024,98,..,..,..,..,0.252,56,72,5.769,15.95744681,70.4920975,45.05386134,33.949,65.31
9680940,Uzbekistan,0.72,71.73,12.05882,11.8072,7141.953943,107,0.9389877322559974,3,0.6949635096168721,0.7401199033209556,73.829,69.592,11.86788,12.24139,11.61857,12.00164,5063.99994786998,9230.200748550636,99.99996,99.99996,99.90487,27.94889,104.23298,93.33636,10.07635,0.72345,98.3209,5.28134,73.01688,3.542520347,-12.21776,5346,52.3051,..,11.047684058213402,23.742,39.8,21.50664,88.7,88.6,..,..,..,41.977,100.0,59,..,1.06,0.9648933824421546,0.9850528110326962,0.9875025117114703,1.0801208029845444,0.999026979557867,0.9361421988150099,40.57997,16.4,..,..,..,..,7.2,21.43483,24.60623,..,35.96907806,126,..,..,..,..,0.288,62,29,23.79,16.4,99.85953,99.95679,52.378,78.113
9680941,Bolivia (Plurinational State of),0.718,71.51,14.2,9.017540839,8553.783786,108,0.9449452819804474,3,0.6964340566609594,0.7370099305658736,74.508,68.684,14.1661139,14.2338861,8.2941,9.785,6481.03211533227,10609.995363043574,99.40421,99.39402,58.78991,74.47584,98.15092,89.72425,..,4.43681,95.7613,..,56.39731,1.355968419,..,1142,43.8323,32.1849,12.367596517327705,15.901,12.9,17.79827,7.5,18.9,..,..,..,63.224,85.95951,..,23,1.05,1.016532787212544,0.9900368765747977,0.9791124849644397,1.21540408034161,0.8925314684062904,1.171639495539834,44.0692,51.80722892,50.47,..,..,..,19.7,..,..,30.44,53.85283279,90,58.5,..,47.5549,..,0.417,98,155,64.9,51.80722892,53.09571669,59.48890159,63.177,80.515
9680942,Indonesia,0.718,71.72,13.60698,8.16668,11459.09692,110,0.9403575936633956,3,0.6936392619223558,0.7376334987843428,73.967,69.572,13.67324,13.54619,7.76235,8.57777,7901.742095411285,14966.487489838935,99.69625,99.71748,50.91415,62.34366,106.41082,88.91017,36.31104,1.76795,93.53414,3.5836,37.3034,0.13048841,-0.50114,15810,39.7875,37.3823,12.377707708135677,4.269,10.4,17.03493,..,61.4,370.9653808,378.6681313,396.0700537,47.895,96.81341,..,..,1.05,0.9039678498051307,0.9672330962392662,1.0250221645637463,1.031547053231939,0.8508409733996003,0.939387627577588,40.53655,17.39130435,14.37,..,..,..,16.3,12.39081,37.43295,19.43,51.35491943,90,18.3,..,42.0142,7.435893,0.48,121,177,47.374,17.39130435,46.84225,55.05406,53.08,81.885
9680943,Philippines,0.718,71.23,13.14836,9.393091398,9777.798117,111,1.0069199775633197,1,0.7197416002012795,0.7147952332249947,75.505,67.263,13.49941,12.81631,9.5668,9.2162,7843.035175906852,11694.19793233328,99.26673,98.90415,73.22,80.69254,107.50977,86.16291,35.47546,7.14464,88.52068,..,68.6069,0.202124345,-0.23481,7168,60.0548,..,12.681717846273388,6.004,9.9,29.08352,..,..,339.6915905,352.5670677,356.9333242,32.699,92.5148,47,52,1.06,0.959112247853579,0.9643941163056498,1.105884138393106,1.4360803454101747,1.0442837636966544,1.2433808553971488,43.57667,28.04878049,29.08,..,..,..,16.5,17.77721,36.25297,29.31,38.85416412,105,14.8,..,29.87,5.574449,0.43,104,121,54.154,28.04878049,75.59380536,72.38818412,46.1,73.258
9680944,Belize,0.716,74.62,13.11358,9.921731875,6381.597682,108,0.97630942840557,1,0.7057622577314169,0.7228878849239538,77.843,71.65,13.37546,12.84743,9.927629533,9.915711349,4896.199684514421,7880.67368720379,..,..,78.95098323,47.43126,111.69688,85.37246,24.65664,4.20968,68.76599,7.37876,115.7101,15.37019057,..,489,47.0826,..,12.62534059080046,11.229,10.4,19.78332,..,..,..,..,..,29.622,100.0,..,..,1.03,1.0527890760305472,0.9492033719329636,1.0413277839463753,2.6277595859300726,1.0016704127118743,2.217041800643087,42.95761,11.11111111,30.96,..,..,..,33.5,11.72161,41.83007,41.71,52.28493881,98,22.2,..,43.5137,9.842282,0.415,97,36,68.487,11.11111111,79.04098049,78.90916961,49.904,80.603
9680945,Samoa,0.715,73.32,12.7297,10.77921,6308.652491,113,..,..,..,..,75.464,71.324,13.17706965,12.28233035,..,..,4054.375439512938,8410.108811819315,99.43575,98.84151,74.94214347,48.76443,110.52421,93.25814,..,14.39467,94.41748,4.08047,91.12301,2.047215331,..,164,33.6109,..,12.29581279848212,3.445,10,30.23604,13.8,23,..,..,..,29.983,100.0,59,48,1.08,1.161673808899103,0.9983828789672556,1.1034472044480175,1.4915686274509805,1.1053961525106,1.2970727848101267,45.42418,10,..,..,..,..,10.8,..,..,41.63,..,28,46.1,10.6,66.6319,..,0.36,81,43,23.886,10,79.1274861,71.58292158,31.104,55.456
9680946,Turkmenistan,0.715,68.19,11.1894,10.27379667,14908.6706,112,..,..,..,..,71.717,64.705,10.91083,11.46204332,..,..,10493.486391067427,19460.758224835412,99.9,99.77,..,57.9761,88.40043,85.81854,7.96587,..,..,..,35.16339,3.283811468,-106.8564,..,21.251,..,11.210700561067311,22.247,40.3,..,..,..,..,..,..,25.219,100.0,94,..,1.05,0.9690583998562365,0.9807856630477384,0.9588984939767632,0.5964641792578889,..,0.42591868647380765,42.13635,25,21.93,..,..,..,5.7,..,..,..,35.51710892,..,..,..,..,..,..,..,7,24.418,25,..,..,51.407,78.315
9680947,Venezuela (Bolivarian Republic of),0.711,72.06,12.81608,10.30728,7044.638972,101,1.0092220719889584,1,0.7123502768805153,0.7058409607279268,76.004,68.327,13.81196,11.8202,10.5925,10.01145,5172.527635517804,8973.448969090157,99.09258,98.44194,69.20773,69.51507,97.15034,88.07702,..,17.0407,74.59911,..,48.09081,4.824303021,-0.63214,427,72,50.6182,12.80572112481323,..,8.7,..,..,..,..,..,..,35.61,100.0,..,24,1.05,1.0136708335758988,0.9770795456153124,1.08062493081226,1.4310176721511274,1.0765316385615817,1.1006140765233823,41.9352,22.15568862,..,..,..,0.7171428571428572,..,..,..,..,70.03800964,182,..,..,42.3317,11.71376,0.479,119,125,85.337,22.15568862,71.71238,66.61428,45.44,74.853
9680948,South Africa,0.709,64.13,13.7912,10.24064634,12129.23006,115,0.9863821495061937,1,0.7020923195480617,0.7117853054209727,67.679,60.726,14.17628,13.41081,10.03064,10.29088,9247.750648454106,15094.546275607783,96.87589,93.75609,75.47826427,24.61863,100.86473,104.69798,22.36603,20.30305,93.48155,6.15899,59.20454,7.213765024,3.3392,10472,56.1674,..,13.765223595311305,9.054,23,30.3322,..,..,..,..,..,10.298,89.59881999999999,..,..,1.03,1.0048110220286666,0.9666730371326663,1.0857122315798193,1.1608045009185548,0.9586890563313749,1.149444886514342,44.64506,45.33333333,40.73,15.55556,2.408604081860171,..,3.6,12.94394,42.75694,33.26,69.98981476,120,21.3,..,52.1689,13.631,0.406,93,119,67.908,45.33333333,74.97650898,78.20732748,49.61,62.749
9680949,"Palestine, State of",0.708,74.05,13.4094,9.16551,6417.389121,114,0.8699879491334531,5,0.6379549971194095,0.7332917631271113,75.755,72.416,14.28559,12.56511,8.94876,9.37827,2045.1864242267202,10666.235250464473,99.38239,99.29223,64.24537,56.47925,98.60411,89.48775,44.25381,1.14844,85.18464,5.25234,79.60098,5.093627921,-11.40574,606,64.4,60.2284,13.887835368291302,..,..,24.45322,85,94.6,..,..,..,23.069,100.0,..,..,1.05,1.0001852175172565,1.002612961964811,1.10153994795398,1.840273259596617,0.9784674038277638,1.8217209467876847,15.89381,..,21.17,17.77778,5.953491331531658,..,15.3,11.33268,44.27376,17.83,15.91077328,70,..,..,48.5033,..,..,..,27,52.766,..,63.54091,64.93922,17.693,69.497
9680950,Egypt,0.707,71.99,13.32624,7.434,11466.14512,117,0.8823332278842357,5,0.652050925257035,0.7390075593328846,74.35,69.742,13.31444,13.33763,6.78,8.082,4752.9076273667615,18039.470400234823,86.81055,89.48338,72.95913,28.70762,106.28493,87.91114,35.16452,2.98073,92.3208,..,48.27827,0.502104468,0.70563,11196,46.9243,41.2807,11.97815430302761,4.521,14.3,23.67945,47.6,49.1,..,..,..,20.721,100.0,..,61,1.06,0.9957863977228959,1.0039204126722399,0.9865933151913497,1.5489995839479558,1.0133947066100304,3.05939226519337,17.43754,14.93288591,..,22.36111,9.1999827200316,..,17.4,7.73353,36.89891,..,26.9944191,90,25.6,..,57.196,3.772576,0.449,108,37,53.819,14.93288591,73.50696,72.53537,21.933,70.858
9680951,Marshall Islands,0.704,74.11,12.39008,10.8856786,5039.043833,116,..,..,..,..,..,..,..,..,10.71154,11.06208,..,..,98.7567,98.16972,92.0607,38.22368,84.74016,64.44054,..,16.53218,96.71695,..,125.7277,5.606300284,-17.44361,6.8,38.7012,..,12.38523177925499,4.233,..,..,25.5,..,..,..,..,..,98.43132,..,..,..,0.9173633515587323,0.9959609238372389,1.0679914847323637,..,0.991085080890711,..,..,6.060606061,15.92,..,..,..,26.3,..,..,..,..,..,50.9,13,..,..,..,..,..,..,6.060606061,91.64424,92.46859,..,..
9680952,Viet Nam,0.704,75.4,12.692323,8.32,7432.706806,118,0.9974276248111201,1,0.7030678518234439,0.7048810704000521,79.523,71.301,12.876677,12.51,8.018,8.632,6644.2948641633075,8223.728768364808,98.35314,98.46012,69.77873171,100.23493,110.59481,..,28.54497,4.03991,89.41091,4.17277,210.4002,0.07889523,-3.33905,15498,70.3496,..,11.712122897732469,8.281,31.8,20.27696,..,..,..,..,..,54.074,100.0,..,..,1.12,0.9896772820284375,1.0218267883389118,..,1.065404718180534,0.849936213502677,0.9010884997633696,46.86414,26.72064777,26.79,..,..,..,10.6,15.37658,36.50885,..,30.41970062,180,34.4,2.3,39.392,4.095032,0.296,65,43,30.929,26.72064777,66.43856115,78.16887914,72.708,82.363
9680953,Gabon,0.703,66.47,12.97731,8.698,13929.80613,119,0.9158481824351299,4,0.6696274350522377,0.7311554992354509,68.669,64.382,12.59342306,13.36119694,7.766,9.638,9924.830357682513,17790.664004526803,91.44938,88.14196,58.82,..,..,..,..,..,..,2.66667,72.93916,18.93892006,..,..,62,..,13.261641662943402,6.819,13,24.53098,..,..,..,..,..,31.464,62.511309999999995,..,..,1.03,..,..,..,1.3438703721389236,1.3080683527663994,1.9944728188623804,27.82159,17.94871795,..,..,..,..,21.9,..,..,..,53.70412445,98,48.6,5,35.51,4.54176,0.525,128,252,96.227,17.94871795,66.23708064,50.63732373,43.526,61.833
9680955,Kyrgyzstan,0.697,71.45,12.96756,11.10481377,4864.390351,120,0.9572854580584064,2,0.676553939984235,0.7067421052822017,75.603,67.437,13.21047,12.73308,11.18735489,11.01766576,2971.455184012107,6797.909177882883,99.81,99.69,98.42,39.81791,107.56541,95.05481,41.26702,1.86197,97.19105,6.02619,103.085,3.121332325,1.46935,423,38,..,11.558587671602726,22.13,44.1,24.98946,41.4,43.6,..,..,..,33.789,100.0,68,..,1.06,0.9958402320266794,0.9934804851493195,0.9998335832915101,2.0010209764247264,1.0076309213951595,1.3284113147126844,38.42569,19.16666667,..,16.80556,1.7664236185198694,..,12.9,11.28591,31.27617,..,38.85499954,126,26.6,0.1,92.68,7.317283,0.369,82,60,32.763,19.16666667,99.09042481,98.34,44.768,75.735
