Country,country_ID,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services,Male to female births,Gender enrolment ratio pre-primary,Gender enrolment ratio primary,Gender enrolment ratio secondary,Youth unemployment rate gender ratio,At least some secondary education gender ratio,Total unemployment rate gender ratio,Share of female employment in nonagriculture,Share of seats held by women in parliament,Share of seats held by women in local government,Share of hour women spent on unpaid domestic chores and care work,Time spent on unpaid domestic chores and care work gender ratio,Old-age pension recipients gender ratio,Share of women married by age 18,Share of female in STEM tertiary education programs,Share of female STEM tertiary education graduates,Female share of employment in senior and middle management,Women with account at financial institution or with mobile money-service provider,Days of mandatory paid maternity leave,Share of violence against women ever experienced by intimate partner,Share of violence against women ever experienced by nonintimate partner,Share of skilled labour force,Ratio of education and health expenditure to military expenditure,Gender Inequality Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male
Jordan,400,no,yes,0.729,74.53,11.3787006,10.518,9858.487276,103.0,0.8748292952354352,5.0,0.6635184666549147,0.7584547868579866,76.306,72.839,11.63216428,11.12515586,10.31,10.726,3323.6458286672537,16233.916224885066,99.49391,99.19612,84.15676617,27.13668,81.4589,63.11653,34.41532,4.10297,86.4684,3.58851,87.61716,33.13011659,5.19964,4150.0,66.7903,,13.115081705224007,23.237,14.7,18.53699,12.7,73.6,419.0636608,399.7619093,429.2520738,9.202,98.89148,94.0,81.0,1.05,0.992076409460149,0.9819269178172191,1.0331469042738044,1.8531840401638262,0.9545683463914844,1.823115970324092,16.64676,15.38461538,31.85,,,0.2007434944237918,9.7,,,,26.61338997,70.0,19.0,,,2.408983,0.45,109.0,46.0,25.877,15.38461538,82.15009517,86.05994058,14.386,63.742
Kazakhstan,398,yes,yes,0.825,73.6,15.61293,11.8949,22857.46082,53.0,0.9802664241755157,1.0,0.8070648346015826,0.8233117188323472,77.669,69.23,15.7794,15.11553,10.85906734,11.92241205,16791.133203029807,29295.812776564162,99.85091,99.94014,99.45866,62.48212,104.37133,113.22753,61.74976,0.83007,98.4866,2.75095,64.4315,19.97450654,-11.30445,8789.0,78.9039,77.8547,12.20377003202745,39.8,60.6,17.21457,,,386.9092746,423.146133,397.1048352,23.154,100.0,90.0,,1.07,1.0192219124406356,1.0180112177230476,1.0097837926816338,1.0872591006423984,0.996404190935936,1.3038701622971287,48.56214,22.07792208,22.19,17.91667,3.0352935396541967,,7.0,14.12977,31.63234,,60.28655243,126.0,16.5,1.5,80.8,6.64625,0.19,44.0,10.0,29.75,22.07792208,99.29102,99.64934,62.675,75.529
Kosovo,411,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,414,yes,yes,0.806,75.49,14.24582,7.275667996,58590.08219,62.0,0.9832069529957371,1.0,0.7930800996271221,0.8066258046799641,76.58,74.76,15.24291,13.24873,7.9741,6.83248,31697.753687751327,75839.6455778024,99.50355,98.77679,51.52655,62.45247,92.36027,97.82772,54.36414,7.23455,94.11783,,100.4876,72.13656113,,8508.0,99.6,99.7875,13.771539274375966,26.463,20.4,8.88073,,,,,,1.083,100.0,100.0,100.0,1.05,1.0540464854402867,1.1030170102023091,1.0635674589830268,2.922548531607765,1.1524150549696146,5.186854460093897,24.68707,4.615384615,,,,,,,,,73.4630127,70.0,,,,,0.242,53.0,12.0,8.194,4.615384615,56.56559,49.08439,49.683,87.512
Latvia,428,yes,no,0.866,75.29,16.16769,13.03085,30282.39353,37.0,1.035955000686093,2.0,0.8792878734840571,0.8487703354892074,80.012,70.233,16.84802,15.5158,13.44749688,12.55110471,25757.886473601397,35584.27549062458,99.86,99.78,100.0,95.61825,99.36784,110.72325,88.05743,3.56049,97.74502,4.71957,119.7301,12.4435228,1.00466,1946.0,83.5772,83.9624,12.583590900374809,31.905,54.9,11.53684,100.0,100.0,478.6986742,496.1263306,487.2505882,7.143,100.0,95.0,86.0,1.07,0.9938806306935702,1.0019330320731221,0.9901520948841694,0.7496020836347852,1.0,0.7602268124746862,51.96999,30.0,34.01,,,1.0,,10.24201,31.133,43.54,92.54244232,112.0,32.0,7.0,92.5467,7.441581,0.176,41.0,19.0,16.171,30.0,100.0,100.0,55.721,68.383
Lebanon,422,no,yes,0.744,78.93,11.28587,8.718636,14654.53395,90.0,0.8921468975490517,5.0,0.6907951375619129,0.774306495331316,80.869,77.14,11.11914,11.4526,8.4842,8.9158,6078.497812541329,23124.196533914244,99.83898,99.66274,54.884196,,,,,14.51591,83.47173,2.43467,63.61167,27.18715034,1.23938,1964.0,78.1808,,13.835244609550534,21.038,27.3,12.48274,89.9,94.0,353.3553166,393.4500545,383.7169937,26.882,100.0,48.0,22.0,1.05,,,,1.3203382453522354,0.9775371030234111,1.9575985734099468,23.31316,4.6875,3.97,,,,6.1,18.02627,43.25716,,32.90546417,70.0,,,,2.380549,0.411,96.0,29.0,14.5,4.6875,54.31374759,55.56182719,22.874,71.41
Lithuania,440,yes,yes,0.882,75.93,16.63731,13.07721,35798.67041,35.0,1.0299156308783952,2.0,0.8941914162315672,0.868218123332033,81.371,70.294,17.07771,16.21226,13.10024,13.048,30987.27641913539,41389.08703570246,99.86662,99.84547,95.88641947,88.18839,103.87475,108.40176,72.41746,1.5566,90.75077,4.00847,150.5807,4.247603028,-3.64603,2825.0,79.7226,79.8985,12.688551504697287,63.528,64.3,13.51703,,,475.8734797,481.1911884,482.0670127,9.152,100.0,92.0,91.0,1.06,0.9897306003176044,0.9997255716143059,0.95846285295462,0.859550986469121,0.9677819864375256,0.98515625,51.47251,21.27659574,29.36,,,1.0,,12.304,29.59471,38.59,81.01387024,126.0,24.0,5.0,96.4468,7.202519,0.124,34.0,8.0,10.854,21.27659574,94.29903,97.43829842,56.538,67.74
Malaysia,458,no,yes,0.81,76.16,13.67864,10.37283,27534.09856,63.0,0.9717958908380916,2.0,0.797492387438931,0.8206377439517278,78.317,74.234,14.03851,13.33979,10.27343,10.47029,20824.622581911368,33877.30486654911,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.091,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.358,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0,1.06,1.0240281448346435,1.0132850885720364,1.084278005542867,1.1253728560775542,0.9434758118986191,1.2202283849918434,39.93674,15.51724138,,,,,,26.19804,34.16717,,82.47853851,60.0,,,66.8,7.702459,0.253,59.0,29.0,13.414,15.51724138,72.19998,76.52552306,50.748,77.102
Malta,470,yes,no,0.895,82.53,16.10407,11.32613,39554.52078,28.0,0.965690318755337,2.0,0.8773965289810337,0.9085692503492179,84.263,80.699,16.54657,15.69361,11.05503,11.59871,29367.740809772848,49686.441085377046,99.56088,99.05695,82.17869,107.71926,104.99837,104.75412,54.25992,6.19334,99.26904,5.20455,261.0121,19.29028185,0.75024,2599.0,81.4031,81.4792,13.938378910888316,28.598,44.9,12.93931,,,448.2347604,471.7244151,456.5903228,9.809,100.0,100.0,93.0,1.06,0.9886225639217929,1.0019338297713123,0.9984297127124018,0.5826338639652677,0.9197712558073008,1.155541947336191,40.96937,14.92537313,26.29,,,0.428,,10.30641,27.84946,30.01,96.96466064,126.0,15.0,5.0,63.4538,29.45122,0.175,40.0,6.0,12.879,14.92537313,78.70788,85.57332,46.047,67.06
Montenegro,499,yes,no,0.829,76.88,14.99968,11.58926489,21399.24713,48.0,0.9661920538769245,2.0,0.8142015728441213,0.8426912326354487,79.303,74.441,15.37342,14.6553,10.93444252,12.29348194,17517.90711762671,25367.787479649596,98.97,99.23,91.618581,69.3313,100.00255,89.87782,56.08097,0.90129,98.09353,,109.4539,11.30071164,,2077.0,71.5173,71.7128,12.350597425744835,27.557,38.6,,,,421.0575734,429.6115428,415.1722314,13.257,100.0,94.0,,1.07,0.9024436920804446,0.9549221216112285,1.013840414628937,0.8088186606471031,0.8958811800807892,1.1057996485061512,43.56062,28.39506173,27.77,,,,5.8,,,28.2,67.57224274,45.0,17.0,1.0,92.0116,,0.109,26.0,6.0,9.313,28.39506173,87.96299899,98.18601054,46.484,62.778
Morocco,504,yes,yes,0.686,76.68,13.72117,5.648,7368.360268,121.0,0.8346114320282836,5.0,0.6121883175012319,0.7335009970010642,77.895,75.423,13.28992,14.1454,4.684,6.638,2974.8406331816655,11831.241566373561,97.4,98.04,32.39562931,50.8886,113.87658,80.2262,35.93593,7.01331,78.80116,,87.46319,0.270274798,-3.07422,12289.0,64.8039,61.1112,12.978829600601394,7.308,10.0,26.80065,79.0,89.5,359.3878861,367.7273526,376.5968892,47.538,100.0,70.0,39.0,1.06,0.8567176173555914,0.9603880540199305,0.9149717907994553,1.0442725025180846,0.8091280322695615,1.2147189176580357,16.80205,18.44660194,20.87,20.83333,6.976745665765829,,13.7,17.75364,45.3156,,16.80644608,98.0,,,18.68,3.375816,0.454,111.0,70.0,31.034,18.44660194,29.08900478,35.95105301,21.469,70.139
Netherlands,528,yes,no,0.944,82.28,18.48513,12.4148,57707.06867,9.0,0.965586666219649,2.0,0.9264806845968288,0.9595002882797425,83.952,80.592,18.79391,18.18601,12.16944,12.66969,46815.15237759871,68685.268775261,,,88.921,94.288,104.22962,135.57512,84.98045,,,5.4796,154.3223,13.3518959,8.89263,18780.0,94.7121,94.5693,13.605472859789213,36.054,31.7,11.80592,100.0,100.0,484.7837251,519.2309824,503.3838194,12.653,100.0,100.0,97.0,1.05,1.0018565245868227,0.9998600301179882,1.0136249221962836,0.8800888230940045,0.9696087881447114,1.1008513425016373,46.52989,33.77777778,31.79,14.72222,1.593984913562095,1.0030364372469636,,8.68194,29.29293,26.01,99.83270264,112.0,25.0,12.0,78.5842,13.56122,0.043,4.0,5.0,3.788,33.77777778,87.57493,90.31986,58.263,69.083
New Zealand,554,yes,yes,0.931,82.29,18.83857,12.78207732,40798.7196,14.0,0.9642864080198679,2.0,0.9118545920901724,0.9456263040797572,83.981,80.571,19.74466,17.91784,12.71496574,12.85611319,31232.963310135274,50692.96028665708,,,97.16536525,91.46968,99.97476,114.59004,82.03322,,,6.44277,55.94195,22.34423841,17.83445,3686.0,90.8111,82.1509,14.912251881050487,35.898,25.7,14.91552,,,505.7272834,494.489676,508.4907214,12.087,100.0,100.0,89.0,1.06,1.0114379898687849,1.0043334793429766,1.063792950628121,1.0665196618890114,1.0055455505223378,1.1950040290088637,48.42234,40.83333333,39.41,18.05556,1.7105260166206246,1.0,,12.93056,34.96016,,99.34078217,,,,82.18,13.34436,0.123,33.0,9.0,19.27,40.83333333,97.38831267,96.85121934,64.772,75.335
North Macedonia,807,yes,no,0.774,75.8,13.5852,9.812715,15864.63074,82.0,0.9520718901753507,2.0,0.7528507162081073,0.7907498624599123,77.846,73.794,13.78974,13.39142,9.408585467,10.23517865,11698.138832190134,20026.517663013867,98.5,98.76,49.925569,40.98351,97.12595,81.44688,42.45998,2.64567,95.99262,,137.2766,6.296020224,-3.9548,707.0,79.1678,77.3705,12.091033040001175,28.736,42.8,14.91335,,,392.6677695,394.4468299,413.0446737,19.028,100.0,81.0,17.0,1.06,1.028193073224779,0.9987514482747266,0.9731230667553045,1.0692802594413642,0.7251115901260134,0.9358326929410473,40.03833,39.16666667,,15.41667,2.846152710059871,,6.9,18.0068,47.38186,28.15,72.88609314,270.0,10.0,2.0,82.4474,,0.143,37.0,7.0,15.723,39.16666667,41.82646897,57.68280295,42.986,67.346
Northern Ireland,928,yes,no,0.932,81.32,17.49843,13.24287,46070.64481,14.0,0.9699238256280696,2.0,0.9159521804260728,0.944354758821346,82.999,79.613,17.98136,17.01851,13.24347,13.24225,33322.8166645938,59134.68614066317,,,78.79872144,106.38731,101.15456,125.85187,59.99557,0.24553,,5.48697,64.25368,14.14495139,16.46796,36316.0,94.8967,95.2607,14.753650435690846,28.117,24.6,15.13275,,,503.9281094,501.7698992,504.6674736,12.998,100.0,100.0,98.0,1.05,0.9980159728832099,0.9971326745872438,1.0292982136582127,0.6615281998073075,0.9836078489053186,0.873229115779189,47.17566,28.90896456,34.25,12.65278,1.8165500884386558,1.0,,17.5272,38.10313,34.91,96.07344055,42.0,29.0,7.0,84.3688,8.386448,0.118,31.0,7.0,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11
Norway,578,yes,yes,0.957,82.4,18.06615,12.89775,66494.25217,1.0,0.9899386579617451,1.0,0.9489563520145097,0.9586011662261813,84.377,80.447,18.75945,17.41359,12.977,12.81661,58548.43907513327,74279.89501600877,,,94.92075574,95.36525,100.26021,116.87442,81.99235,0.8978,98.7565,7.9761,72.1465,16.13288846,-3.07912,5688.0,96.4917,97.0,14.555448508578761,29.164,35.3,8.59418,100.0,100.0,499.4509563,500.9637885,490.4131494,4.906,100.0,98.0,76.0,1.06,1.00352986689655,0.9991821553332586,0.9567176164004263,0.982683522787634,1.005616950597548,0.9438463776549317,47.53995,40.82840237,40.84,15.30833,1.2412162814098058,0.866,,10.88373,28.46429,32.75,100.0,,27.0,,84.2811,11.44775,0.045,6.0,2.0,5.141,40.82840237,95.3928,94.8599762,60.37,67.192
Oman,512,yes,yes,0.813,77.86,14.18214,9.731845912,25944.07218,56.0,0.9356256026877761,3.0,0.7682962791017042,0.8211578187841545,80.343,76.127,14.97261,13.70651,10.6469,9.3706,7959.235462523995,35201.07908152768,98.97943,98.35663,66.63262711,52.21419,103.39206,106.66599,38.03621,1.8595,98.35268,4.97011,100.6861,45.95442078,-9.31164,2301.0,80.1856,74.028,12.442214034162092,20.031,14.7,9.67394,100.0,100.0,,,,2.633,100.0,90.0,,1.05,1.0537960472723664,1.1006717294575192,0.923305933981129,3.724283750925045,1.1531506907414957,9.002267573696146,12.03726,9.88372093,3.47,18.88889,2.5185186666666666,,4.0,41.00775,55.73442,,63.52985382,50.0,,,,0.6989001,0.306,68.0,19.0,13.056,9.88372093,73.4094,63.65985,30.986,89.895
Pakistan,586,yes,no,0.557,67.27,8.27594,5.158944258,5005.034893,154.0,0.744749566275391,5.0,0.45595493714862756,0.6122258512065062,68.287,66.337,7.57943,8.92168,3.83113,6.25061,1392.5472468310693,8412.34548050613,67.53713,81.26352,37.31900721,83.14242,94.3282,42.67466,8.95842,29.59081,89.64781,2.89952,30.43821,1.50438585,,966.0,15.51,9.49437,13.146492525413112,9.801,6.3,44.0773,,,,,,55.483,54.39318,35.0,,1.09,0.8730249805232253,0.8444069768445264,0.852389665937544,0.9358419358419358,0.6038002218161239,1.344869021869743,11.01821,20.0,16.85,,,,18.3,,,4.22,7.025063992,112.0,24.5,,27.8274,1.539527,0.538,135.0,140.0,38.802,20.0,27.56918,45.65944,21.919,81.743
Philippines,608,yes,no,0.718,71.23,13.14836,9.393091398,9777.798117,111.0,1.0069199775633197,1.0,0.7197416002012795,0.7147952332249947,75.505,67.263,13.49941,12.81631,9.5668,9.2162,7843.035175906852,11694.19793233328,99.26673,98.90415,73.22,80.69254,107.50977,86.16291,35.47546,7.14464,88.52068,,68.6069,0.202124345,-0.23481,7168.0,60.0548,,12.681717846273388,6.004,9.9,29.08352,,,339.6915905,352.5670677,356.9333242,32.699,92.5148,47.0,52.0,1.06,0.959112247853579,0.9643941163056498,1.105884138393106,1.4360803454101747,1.0442837636966544,1.2433808553971488,43.57667,28.04878049,29.08,,,,16.5,17.77721,36.25297,29.31,38.85416412,105.0,14.8,,29.87,5.574449,0.43,104.0,121.0,54.154,28.04878049,75.59380536,72.38818412,46.1,73.258
Poland,616,yes,no,0.88,78.73,16.30117063,12.47232,31622.55302,34.0,1.0071102297898131,1.0,0.8801142643742882,0.8739006300809501,82.587,74.814,16.8762,15.32266,12.49645,12.44323,24826.791732612437,38850.140798084045,99.81581,99.77874,85.7883782,81.14455,100.0159,109.93363,67.82744,6.10564,98.6012,4.63931,106.2425,1.73138993,2.51625,19622.0,77.5417,77.304,12.784915775488004,23.788,65.4,10.18051,100.0,100.0,511.8556954,515.6478747,511.0355619,16.059,100.0,99.0,93.0,1.06,0.9870606941505731,1.0005757698984656,0.9674607780449255,1.0164105235738474,0.9394169284995181,1.018282066163668,45.22657,27.85714286,26.93,17.6375,1.840435422760147,0.995,,15.25344,43.36165,41.15,87.96221924,140.0,13.0,2.0,95.1002,5.761336,0.115,28.0,2.0,10.538,27.85714286,83.14769421,88.50989554,48.629,65.459
Portugal,620,yes,yes,0.864,82.05,16.53579,9.26347,33966.82756,38.0,0.9883174104291926,1.0,0.8582876104996814,0.8684331586620094,84.853,79.032,16.47511,16.59802,9.36642,9.14325,28937.20115733325,39571.33834895912,99.70156,99.62657,54.30303,93.88086,106.18313,119.91319,63.93581,,,4.88294,87.64121,8.685172685,2.35039,16186.0,74.661,73.0328,14.082686423083047,51.24,34.5,12.35346,100.0,100.0,491.8007851,492.4874062,491.6773285,11.848,100.0,95.0,85.0,1.06,0.9853416361367809,0.9668375063660711,0.9803026913227204,1.2099000475963826,0.9826925855546604,1.20947240118405,49.87154,38.69565217,,17.81135,1.7391518737672584,0.7719112988384371,,18.97023,37.76102,36.97,90.62212372,,19.0,1.0,56.5709,7.748872,0.075,17.0,8.0,8.38,38.69565217,53.86539,54.81408,54.195,64.082
Qatar,634,yes,yes,0.848,80.23,12.03595,9.73144,92418.23036,45.0,1.0296748037406314,2.0,0.8659822850362833,0.8410250322629229,82.01,79.142,14.09975,11.34201,11.28132,9.36681,45338.14106792162,107833.0288902143,96.11466,94.0699,68.15886188,60.26741,103.84244,,17.86992,3.80578,96.63074,2.86383,86.54736,78.73005829,14.42274,1819.3,99.6528,99.79,13.133575184079959,24.852,12.5,12.1676,100.0,100.0,407.0917923,414.2287179,419.1271549,0.144,100.0,96.0,96.0,1.05,1.0121674071250244,1.0102611276739784,,9.767857142857142,1.1487669927429474,11.675675675675675,13.76672,9.756097561,,8.19444,3.6875016875016873,0.35807860262008734,4.2,15.9292,47.57709,,61.56953049,50.0,,,43.87,4.21944,0.185,43.0,9.0,9.922,9.756097561,76.09473255,66.24035425,56.811,94.73
Romania,642,no,yes,0.828,76.05,14.25988,11.0708,29497.23164,49.0,0.9913810337527182,1.0,0.8237000206149322,0.8308611851257072,79.525,72.609,14.69678,13.85499,10.76149,11.40741,24432.831136255216,34845.53965639217,99.43968,99.41938,90.78313091,83.96366,85.15087,91.25939,49.38187,5.95006,91.6668,2.97411,84.55987,2.38865263,-1.51751,11720.0,70.6813,69.6146,12.133239098206538,29.807,68.9,19.33481,,,427.7031458,429.916827,425.7612272,23.722,100.0,82.0,77.0,1.06,1.0013431231558125,0.9867215205248665,1.0037089729107869,0.9635167081975593,0.942240997141066,0.7791941725472343,43.34405,19.56989247,12.51,19.02778,2.029629866666667,1.0,,20.25356,41.21575,34.19,53.59091949,126.0,24.0,2.0,81.6709,5.677497,0.276,61.0,19.0,36.211,19.56989247,88.15230784,93.55600967,45.315,64.736
Russia,643,yes,yes,0.824,72.58,15.02735,12.17244258,26157.04711,49.0,1.0066508971738939,1.0,0.8229071431790637,0.8174702327185336,77.785,67.148,15.25936,14.80511,11.9142,12.0751,19693.99509009639,33639.838342489034,99.74909,99.64997,95.925678,86.78778,102.58246,103.38481,81.90931,2.78226,97.72145,3.74303,49.07407,7.97996776,3.29558,24551.0,80.8647,80.0784,12.644806276281306,40.139,71.2,21.25883,,,478.5019341,487.7865391,477.71768,5.35,100.0,76.0,61.0,1.06,0.978503962046808,0.9953045223174758,0.9751786752404792,1.1101138211382116,1.0061182639235773,0.9491597532439907,49.59273,16.4516129,,18.40278,2.2649575384615384,1.0,,,,39.75,76.13137054,140.0,,,96.0979,1.652206,0.225,50.0,17.0,20.699,16.4516129,96.31389491,95.72820449,54.822,70.248
"Russia, Moscow",643001,yes,yes,0.824,72.58,15.02735,12.17244258,26157.04711,49.0,1.0066508971738939,1.0,0.8229071431790637,0.8174702327185336,77.785,67.148,15.25936,14.80511,11.9142,12.0751,19693.99509009639,33639.838342489034,99.74909,99.64997,95.925678,86.78778,102.58246,103.38481,81.90931,2.78226,97.72145,3.74303,49.07407,7.97996776,3.29558,24551.0,80.8647,80.0784,12.644806276281306,40.139,71.2,21.25883,,,478.5019341,487.7865391,477.71768,5.35,100.0,76.0,61.0,1.06,0.978503962046808,0.9953045223174758,0.9751786752404792,1.1101138211382116,1.0061182639235773,0.9491597532439907,49.59273,16.4516129,,18.40278,2.2649575384615384,1.0,,,,39.75,76.13137054,140.0,,,96.0979,1.652206,0.225,50.0,17.0,20.699,16.4516129,96.31389491,95.72820449,54.822,70.248
Saudi Arabia,682,yes,yes,0.854,75.13,16.13575,10.22517,47495.42697,40.0,0.8960899029569535,5.0,0.791461274258187,0.8832386925089674,76.759,73.935,16.01491,16.23254,9.75244,10.522,16511.711975393875,70180.9119858063,99.28044,99.32152,68.84821,21.23175,99.7699,110.08628,68.03989,30.43672,80.94371,,62.16307,38.29268068,-0.35493,15334.0,93.31,91.4001,13.476336401796596,26.117,22.4,13.81495,100.0,100.0,399.1516582,373.2388056,386.2461449,3.016,100.0,,78.0,1.03,1.048686266566352,1.0114525837912807,0.9434357695469137,2.9675777195670436,0.8950737532276255,7.665164644714039,13.37663,19.86754967,1.14,,,,,14.65023,36.822,,58.17010498,70.0,,,58.66,1.102724,0.252,56.0,17.0,7.324,19.86754967,64.78652,72.38120855,22.115,78.372
Serbia,891,yes,no,0.806,76.0,14.73747,11.19411,17191.66873,65.0,0.9771722781563892,1.0,0.7965022233070886,0.8151093119524768,78.617,73.407,15.27885,14.22612,10.79403,11.6315,13989.976276170857,20525.48347320908,99.72468,99.71523,89.79983,62.28713,100.30193,95.08724,67.15866,0.61744,96.64382,3.71509,112.6441,9.351231471,-1.43796,1711.0,73.3607,70.0816,12.356079715028645,31.131,56.1,14.2927,,,439.4663414,448.2830563,439.8738896,24.297,100.0,75.0,25.0,1.07,0.9938710926995429,1.0003009353825525,1.009814781568461,1.1139464639100094,0.9219167205828049,1.1669065966635617,45.15769,37.65182186,31.21,19.16756,2.2056066593175445,,3.2,20.317,42.55736,33.57,70.12700653,135.0,17.0,2.0,82.8695,6.200531,0.132,35.0,12.0,14.706,37.65182186,86.30764,93.61761,47.407,62.81
Singapore,702,yes,yes,0.938,83.62,16.44088,11.62461,88155.21431,12.0,0.9852372575048299,1.0,0.9308035314585691,0.9447506419071916,85.728,81.526,16.65767,16.28347,11.17682,12.1125,71387.27614451066,103421.3856924149,99.94237,99.91742,81.42356,,100.62695,107.5746,84.79291,0.85961,98.98744,2.85435,319.1484,37.13866028,10.5088,14673.0,88.1656,87.5644,12.22312632124014,22.936,24.9,14.69428,,,549.4647078,569.0077799,550.9369001,9.666,100.0,100.0,100.0,1.07,,0.9989262992325572,0.9896164495712011,1.8786429532207445,0.9181298760664783,1.08884401817264,41.83149,23.0,,,,,,22.55244,34.26117,,96.31292725,84.0,6.1,,84.0,2.140047,0.065,12.0,8.0,3.53,23.0,78.09105,85.05447,61.97,78.298
Slovakia,703,yes,no,0.86,77.54,14.48704,12.69315651,32113.04569,39.0,0.9918148051098387,1.0,0.8550288152802001,0.8620851502468849,80.96,74.02,14.99228,14.00465,12.57560517,12.75176026,24617.901411793257,40014.435239373066,,,99.2805,95.21526,98.73205,91.06786,46.63439,1.14839,88.06135,3.90267,185.2499,3.444814956,-13.86753,2256.0,80.6603,80.5929,12.8368566326301,34.156,57.0,15.53919,99.7,99.9,457.983967,486.1648542,464.0475782,11.798,100.0,100.0,83.0,1.05,0.9830062345156511,0.9942279134871795,1.012115536663068,1.399178993559346,0.9920637999999999,1.2253716551040634,45.58363,20.0,25.91,,,1.0,,11.90626,35.22112,33.3,83.13398743,238.0,23.0,4.0,95.6005,9.848937,0.191,45.0,5.0,25.684,20.0,99.20638,100.0,52.182,67.442
South Africa,710,yes,yes,0.709,64.13,13.7912,10.24064634,12129.23006,115.0,0.9863821495061937,1.0,0.7020923195480617,0.7117853054209727,67.679,60.726,14.17628,13.41081,10.03064,10.29088,9247.750648454106,15094.546275607783,96.87589,93.75609,75.47826427,24.61863,100.86473,104.69798,22.36603,20.30305,93.48155,6.15899,59.20454,7.213765024,3.3392,10472.0,56.1674,,13.765223595311305,9.054,23.0,30.3322,,,,,,10.298,89.59882,,,1.03,1.0048110220286666,0.9666730371326663,1.0857122315798193,1.1608045009185548,0.9586890563313749,1.149444886514342,44.64506,45.33333333,40.73,15.55556,2.408604081860171,,3.6,12.94394,42.75694,33.26,69.98981476,120.0,21.3,,52.1689,13.631,0.406,93.0,119.0,67.908,45.33333333,74.97650898,78.20732748,49.61,62.749
South Korea,410,yes,yes,0.916,83.03,16.48165,12.21376462,43043.71057,22.0,0.9361131436640374,3.0,0.8805218558850386,0.9406147770114528,85.954,79.935,15.91375,16.97458,11.4283,12.87406,27734.215949119614,58309.27944080957,,,86.04469609,94.9852,98.0886,100.33825,94.34969,0.52357,99.34073,4.59437,76.7094,2.271640807,-1.10327,15347.0,95.8983,94.6165,12.77145500861513,23.608,124.3,16.28669,100.0,100.0,514.0522882,525.933002,519.0072549,19.041,100.0,98.0,100.0,1.06,1.0028984284891949,0.9975433135330066,0.993568910119637,0.8203015572217186,0.8425410897682664,0.9004389004389005,42.33767,16.66666667,18.59,13.95833,4.187503187503188,0.9590000000000001,,14.43469,25.21585,,94.68531036,90.0,,,85.9853,4.570565,0.064,11.0,11.0,1.379,16.66666667,80.43655096,95.46899485,52.892,73.102
Spain,724,yes,no,0.904,83.57,17.61613,10.25178,40974.52408,25.0,0.9858652738011706,1.0,0.896326715634599,0.9091776933968466,86.248,80.826,18.01731,17.22631,10.16173,10.34807,32880.97702057912,49355.52706476317,99.7439,99.6885,77.72236,92.45296,102.71029,126.0045,88.85301,0.12663,92.69784,4.20911,66.91707,13.06081318,1.17233,82773.0,86.1072,85.6031,13.829921209806063,38.723,29.7,13.13172,100.0,100.0,,481.3926126,483.2520427,10.982,100.0,98.0,97.0,1.06,1.0033661034573575,1.0166232542619074,1.0136243909215892,1.098082174382422,0.9393358769473741,1.3473019040492227,46.00047,41.85667752,38.49,18.95833,2.2016128002081032,0.46596858638743455,,12.43523,29.55581,33.72,91.64125061,112.0,13.0,3.0,67.6972,11.63594,0.07,16.0,4.0,7.725,41.85667752,75.37,80.23754,51.853,63.429
